timestamp,home_id,energy_consumption_kWh,power_consumption_W,voltage,current,temperature_setting_C,occupancy_status,appliance,usage_duration_minutes,device_status,room_location,season,day_of_week,hour_of_day,holiday,peak_hour_flag,appliance_category,appliance_type,weather_condition,outside_temperature_C,humidity_percent,energy_cost_rs,carbon_emission_kg,waste_flag
2024-01-01 16:00:00,H065,1.5,1500,240,6.25,22,Vacant,AC,60,ON,Kitchen,Winter,Friday,16,No,0,High,Cooling,Normal,20,64,10.5,1.23,1
2024-01-01 16:30:00,H191,2.0,1000,220,4.55,28,Occupied,Iron,120,ON,Study Room,Winter,Saturday,16,No,0,Medium,Clothing,Normal,12,78,14.0,1.64,0
2024-01-01 17:00:00,H102,0.02,70,220,0.32,28,Vacant,Fan,15,ON,Kitchen,Winter,Sunday,17,No,0,Low,Ventilation,Normal,14,74,0.14,0.02,1
2024-01-01 17:30:00,H073,0.15,200,230,0.87,24,Occupied,Fridge,45,OFF,Dining Room,Winter,Monday,17,No,0,Medium,Cooling,Normal,20,58,1.05,0.12,0
2024-01-01 18:00:00,H198,0.75,500,230,2.17,20,Occupied,Washing Machine,90,ON,Bedroom,Winter,Tuesday,18,No,0,Medium,Laundry,Cold,20,61,5.25,0.61,0
2024-01-01 18:30:00,H166,0.4,200,230,0.87,30,Occupied,Fridge,120,OFF,Bedroom,Winter,Wednesday,18,No,0,Medium,Cooling,Normal,20,79,2.8,0.33,0
2024-01-01 19:00:00,H155,2.4,1200,230,5.22,22,Occupied,Microwave,120,ON,Hall,Winter,Thursday,19,No,1,Medium,Cooking,Normal,18,85,16.8,1.97,0
2024-01-01 19:30:00,H147,1.8,1200,220,5.45,24,Occupied,Microwave,90,ON,Study Room,Winter,Friday,19,No,1,Medium,Cooking,Normal,12,41,12.6,1.48,0
2024-01-01 20:00:00,H070,2.0,1000,230,4.35,24,Occupied,Iron,120,ON,Living Room,Winter,Saturday,20,No,1,Medium,Clothing,Cold,16,74,14.0,1.64,0
2024-01-01 20:30:00,H182,6.0,2000,240,8.33,28,Occupied,Water Heater,180,OFF,Dining Room,Winter,Sunday,20,No,1,High,Heating,Normal,18,61,42.0,4.92,0
2024-01-01 21:00:00,H122,0.3,100,240,0.42,18,Occupied,TV,180,ON,Kitchen,Winter,Monday,21,No,1,Low,Entertainment,Normal,12,62,2.1,0.25,0
2024-01-01 21:30:00,H032,0.5,500,240,2.08,24,Occupied,Washing Machine,60,ON,Dining Room,Winter,Tuesday,21,No,1,Medium,Laundry,Cold,20,68,3.5,0.41,0
2024-01-01 22:00:00,H150,2.0,2000,220,9.09,26,Occupied,Water Heater,60,OFF,Kitchen,Winter,Wednesday,22,No,1,High,Heating,Cold,14,75,14.0,1.64,0
2024-01-01 22:30:00,H156,1.8,1200,230,5.22,22,Occupied,Microwave,90,ON,Bedroom,Winter,Thursday,22,No,1,Medium,Cooking,Cold,14,66,12.6,1.48,0
2024-01-01 23:00:00,H171,0.3,1200,220,5.45,28,Occupied,Microwave,15,ON,Hall,Winter,Friday,23,No,0,Medium,Cooking,Cold,14,49,2.1,0.25,0
2024-01-01 23:30:00,H164,0.38,1500,220,6.82,28,Occupied,AC,15,ON,Kitchen,Winter,Saturday,23,No,0,High,Cooling,Cold,14,66,2.66,0.31,0
2024-01-02 00:00:00,H142,2.0,1000,240,4.17,24,Occupied,Iron,120,ON,Kitchen,Winter,Sunday,0,Yes,0,Medium,Clothing,Cold,14,69,14.0,1.64,0
2024-01-02 00:30:00,H025,0.2,200,230,0.87,28,Occupied,Fridge,60,ON,Bedroom,Winter,Monday,0,No,0,Medium,Cooling,Normal,12,47,1.4,0.16,0
2024-01-02 01:00:00,H109,0.04,150,240,0.62,30,Vacant,Computer,15,ON,Bedroom,Winter,Tuesday,1,No,0,Low,Work,Normal,12,51,0.28,0.03,1
2024-01-02 01:30:00,H088,0,1500,240,6.25,26,Vacant,AC,0,OFF,Kitchen,Winter,Wednesday,1,No,0,High,Cooling,Cold,18,85,0,0.0,0
2024-01-02 02:00:00,H028,0.5,1000,230,4.35,30,Occupied,Iron,30,ON,Study Room,Winter,Thursday,2,No,0,Medium,Clothing,Normal,12,82,3.5,0.41,0
2024-01-02 02:30:00,H076,0.38,1500,220,6.82,22,Vacant,AC,15,ON,Study Room,Winter,Friday,2,No,0,High,Cooling,Normal,16,55,2.66,0.31,1
2024-01-02 03:00:00,H074,0.3,150,240,0.62,24,Vacant,Computer,120,ON,Study Room,Winter,Saturday,3,Yes,0,Low,Work,Normal,16,61,2.1,0.25,1
2024-01-02 03:30:00,H125,0.04,40,220,0.18,18,Vacant,Light,60,ON,Living Room,Winter,Sunday,3,Yes,0,Low,Lighting,Cold,12,48,0.28,0.03,1
2024-01-02 04:00:00,H141,0,150,220,0.68,22,Occupied,Computer,0,OFF,Study Room,Winter,Monday,4,No,0,Low,Work,Normal,18,47,0,0.0,0
2024-01-02 04:30:00,H113,0,200,240,0.83,28,Occupied,Fridge,0,OFF,Dining Room,Winter,Tuesday,4,No,0,Medium,Cooling,Normal,16,85,0,0.0,0
2024-01-02 05:00:00,H103,1.5,1500,220,6.82,18,Occupied,AC,60,ON,Kitchen,Winter,Wednesday,5,No,0,High,Cooling,Cold,20,68,10.5,1.23,0
2024-01-02 05:30:00,H143,1.0,2000,240,8.33,26,Vacant,Water Heater,30,ON,Kitchen,Winter,Thursday,5,No,0,High,Heating,Normal,12,58,7.0,0.82,1
2024-01-02 06:00:00,H092,1.12,1500,230,6.52,24,Occupied,AC,45,ON,Dining Room,Winter,Friday,6,No,0,High,Cooling,Normal,14,76,7.84,0.92,0
2024-01-02 06:30:00,H142,0.05,100,220,0.45,26,Occupied,TV,30,ON,Dining Room,Winter,Saturday,6,No,0,Low,Entertainment,Cold,14,65,0.35,0.04,0
2024-01-02 07:00:00,H045,0.07,150,230,0.65,20,Occupied,Computer,30,ON,Hall,Winter,Sunday,7,No,0,Low,Work,Cold,14,67,0.49,0.06,0
2024-01-02 07:30:00,H187,0.07,70,240,0.29,24,Partial,Fan,60,ON,Bedroom,Winter,Monday,7,No,0,Low,Ventilation,Normal,12,55,0.49,0.06,0
2024-01-02 08:00:00,H183,0.1,200,240,0.83,20,Occupied,Fridge,30,ON,Kitchen,Winter,Tuesday,8,No,0,Medium,Cooling,Cold,18,51,0.7,0.08,0
2024-01-02 08:30:00,H094,0.01,40,230,0.17,24,Partial,Light,15,ON,Dining Room,Winter,Wednesday,8,No,0,Low,Lighting,Cold,18,70,0.07,0.01,0
2024-01-02 09:00:00,H125,0.5,2000,240,8.33,30,Partial,Water Heater,15,OFF,Bedroom,Winter,Thursday,9,No,0,High,Heating,Cold,14,59,3.5,0.41,0
2024-01-02 09:30:00,H163,0.11,150,230,0.65,26,Occupied,Computer,45,ON,Dining Room,Winter,Friday,9,No,0,Low,Work,Normal,18,71,0.77,0.09,0
2024-01-02 10:00:00,H039,0.5,2000,230,8.7,28,Occupied,Water Heater,15,ON,Hall,Winter,Saturday,10,No,0,High,Heating,Normal,20,79,3.5,0.41,0
2024-01-02 10:30:00,H108,0.07,100,230,0.43,28,Occupied,TV,45,ON,Dining Room,Winter,Sunday,10,No,0,Low,Entertainment,Cold,18,49,0.49,0.06,0
2024-01-02 11:00:00,H085,0,2000,240,8.33,22,Occupied,Water Heater,0,OFF,Kitchen,Winter,Monday,11,No,0,High,Heating,Normal,16,64,0,0.0,0
2024-01-02 11:30:00,H116,0,500,240,2.08,28,Occupied,Washing Machine,0,OFF,Study Room,Winter,Tuesday,11,No,0,Medium,Laundry,Normal,18,52,0,0.0,0
2024-01-02 12:00:00,H104,0.03,40,240,0.17,24,Occupied,Light,45,ON,Kitchen,Winter,Wednesday,12,No,0,Low,Lighting,Cold,12,52,0.21,0.02,0
2024-01-02 12:30:00,H132,1.0,1000,220,4.55,22,Occupied,Iron,60,ON,Bedroom,Winter,Thursday,12,No,0,Medium,Clothing,Normal,14,81,7.0,0.82,0
2024-01-02 13:00:00,H094,0.05,70,220,0.32,22,Occupied,Fan,45,ON,Dining Room,Winter,Friday,13,No,0,Low,Ventilation,Cold,14,65,0.35,0.04,0
2024-01-02 13:30:00,H018,1.2,1200,240,5.0,20,Occupied,Microwave,60,ON,Dining Room,Winter,Saturday,13,No,0,Medium,Cooking,Normal,14,73,8.4,0.98,0
2024-01-02 14:00:00,H099,0.5,1000,230,4.35,20,Occupied,Iron,30,OFF,Bedroom,Winter,Sunday,14,No,0,Medium,Clothing,Cold,12,43,3.5,0.41,0
2024-01-02 14:30:00,H019,0.5,500,240,2.08,18,Occupied,Washing Machine,60,ON,Dining Room,Winter,Monday,14,No,0,Medium,Laundry,Cold,18,40,3.5,0.41,0
2024-01-02 15:00:00,H016,0.1,200,230,0.87,24,Vacant,Fridge,30,ON,Living Room,Winter,Tuesday,15,No,0,Medium,Cooling,Normal,16,67,0.7,0.08,1
2024-01-02 15:30:00,H156,0.04,70,240,0.29,18,Occupied,Fan,30,ON,Hall,Winter,Wednesday,15,No,0,Low,Ventilation,Cold,16,85,0.28,0.03,0
2024-01-02 16:00:00,H149,0.02,40,240,0.17,30,Occupied,Light,30,ON,Study Room,Winter,Thursday,16,No,0,Low,Lighting,Normal,14,67,0.14,0.02,0
2024-01-02 16:30:00,H142,0,500,230,2.17,26,Vacant,Washing Machine,0,OFF,Bedroom,Winter,Friday,16,No,0,Medium,Laundry,Normal,16,46,0,0.0,0
2024-01-02 17:00:00,H112,1.0,1000,230,4.35,30,Occupied,Iron,60,ON,Living Room,Winter,Saturday,17,No,0,Medium,Clothing,Normal,16,78,7.0,0.82,0
2024-01-02 17:30:00,H187,1.5,1500,230,6.52,22,Occupied,AC,60,ON,Hall,Winter,Sunday,17,No,0,High,Cooling,Cold,20,40,10.5,1.23,0
2024-01-02 18:00:00,H058,0.4,200,230,0.87,22,Occupied,Fridge,120,ON,Dining Room,Winter,Monday,18,No,0,Medium,Cooling,Normal,14,58,2.8,0.33,0
2024-01-02 18:30:00,H076,3.0,1200,220,5.45,18,Occupied,Microwave,150,ON,Study Room,Winter,Tuesday,18,No,0,Medium,Cooking,Normal,12,54,21.0,2.46,0
2024-01-02 19:00:00,H145,5.0,2000,230,8.7,26,Occupied,Water Heater,150,ON,Bedroom,Winter,Wednesday,19,No,1,High,Heating,Normal,14,78,35.0,4.1,0
2024-01-02 19:30:00,H031,2.25,1500,240,6.25,28,Occupied,AC,90,OFF,Dining Room,Winter,Thursday,19,No,1,High,Cooling,Cold,14,79,15.75,1.84,0
2024-01-02 20:00:00,H069,0.2,200,230,0.87,24,Occupied,Fridge,60,ON,Hall,Winter,Friday,20,No,1,Medium,Cooling,Cold,12,62,1.4,0.16,0
2024-01-02 20:30:00,H029,1.5,1000,220,4.55,18,Occupied,Iron,90,ON,Living Room,Winter,Saturday,20,No,1,Medium,Clothing,Cold,18,63,10.5,1.23,0
2024-01-02 21:00:00,H038,0.21,70,220,0.32,28,Occupied,Fan,180,ON,Bedroom,Winter,Sunday,21,Yes,1,Low,Ventilation,Cold,16,82,1.47,0.17,0
2024-01-02 21:30:00,H009,3.0,1500,240,6.25,18,Occupied,AC,120,ON,Kitchen,Winter,Monday,21,No,1,High,Cooling,Cold,14,57,21.0,2.46,0
2024-01-02 22:00:00,H031,0.2,200,240,0.83,28,Occupied,Fridge,60,ON,Kitchen,Winter,Tuesday,22,No,1,Medium,Cooling,Cold,16,52,1.4,0.16,0
2024-01-02 22:30:00,H069,1.0,1000,220,4.55,30,Occupied,Iron,60,ON,Dining Room,Winter,Wednesday,22,No,1,Medium,Clothing,Normal,12,70,7.0,0.82,0
2024-01-02 23:00:00,H038,0.75,1500,220,6.82,24,Vacant,AC,30,OFF,Bedroom,Winter,Thursday,23,No,0,High,Cooling,Cold,20,56,5.25,0.61,0
2024-01-02 23:30:00,H171,0,150,240,0.62,22,Occupied,Computer,0,OFF,Dining Room,Winter,Friday,23,No,0,Low,Work,Normal,14,46,0,0.0,0
2024-01-03 00:00:00,H140,0,2000,240,8.33,28,Vacant,Water Heater,0,OFF,Hall,Winter,Saturday,0,Yes,0,High,Heating,Normal,12,50,0,0.0,0
2024-01-03 00:30:00,H184,0.1,100,220,0.45,18,Vacant,TV,60,ON,Hall,Winter,Sunday,0,Yes,0,Low,Entertainment,Normal,12,68,0.7,0.08,1
2024-01-03 01:00:00,H008,0.14,70,240,0.29,22,Vacant,Fan,120,ON,Dining Room,Winter,Monday,1,No,0,Low,Ventilation,Normal,20,58,0.98,0.11,1
2024-01-03 01:30:00,H022,0.5,500,220,2.27,30,Vacant,Washing Machine,60,ON,Kitchen,Winter,Tuesday,1,No,0,Medium,Laundry,Cold,20,49,3.5,0.41,1
2024-01-03 02:00:00,H061,0.03,40,220,0.18,20,Vacant,Light,45,OFF,Kitchen,Winter,Wednesday,2,No,0,Low,Lighting,Cold,16,77,0.21,0.02,0
2024-01-03 02:30:00,H180,0.08,40,220,0.18,30,Vacant,Light,120,ON,Kitchen,Winter,Thursday,2,No,0,Low,Lighting,Cold,18,65,0.56,0.07,1
2024-01-03 03:00:00,H059,0.02,70,240,0.29,22,Occupied,Fan,15,ON,Living Room,Winter,Friday,3,No,0,Low,Ventilation,Normal,12,75,0.14,0.02,0
2024-01-03 03:30:00,H018,0.02,70,240,0.29,20,Occupied,Fan,15,ON,Living Room,Winter,Saturday,3,No,0,Low,Ventilation,Normal,12,42,0.14,0.02,0
2024-01-03 04:00:00,H143,0.05,70,240,0.29,20,Occupied,Fan,45,ON,Kitchen,Winter,Sunday,4,No,0,Low,Ventilation,Normal,16,77,0.35,0.04,0
2024-01-03 04:30:00,H042,0.12,500,240,2.08,24,Vacant,Washing Machine,15,ON,Bedroom,Winter,Monday,4,No,0,Medium,Laundry,Normal,20,75,0.84,0.1,1
2024-01-03 05:00:00,H040,0.07,150,230,0.65,20,Occupied,Computer,30,ON,Study Room,Winter,Tuesday,5,No,0,Low,Work,Normal,20,44,0.49,0.06,0
2024-01-03 05:30:00,H059,0.03,40,240,0.17,18,Vacant,Light,45,ON,Bedroom,Winter,Wednesday,5,No,0,Low,Lighting,Normal,12,69,0.21,0.02,1
2024-01-03 06:00:00,H091,0.15,150,240,0.62,20,Occupied,Computer,60,ON,Study Room,Winter,Thursday,6,No,0,Low,Work,Normal,12,56,1.05,0.12,0
2024-01-03 06:30:00,H101,0.04,40,230,0.17,18,Partial,Light,60,OFF,Hall,Winter,Friday,6,No,0,Low,Lighting,Cold,16,66,0.28,0.03,0
2024-01-03 07:00:00,H007,0.05,70,240,0.29,30,Occupied,Fan,45,ON,Study Room,Winter,Saturday,7,No,0,Low,Ventilation,Cold,16,41,0.35,0.04,0
2024-01-03 07:30:00,H074,0.25,500,220,2.27,20,Occupied,Washing Machine,30,ON,Bedroom,Winter,Sunday,7,No,0,Medium,Laundry,Cold,16,44,1.75,0.2,0
2024-01-03 08:00:00,H006,0.05,100,230,0.43,30,Occupied,TV,30,ON,Dining Room,Winter,Monday,8,No,0,Low,Entertainment,Cold,18,57,0.35,0.04,0
2024-01-03 08:30:00,H126,0.38,500,220,2.27,24,Partial,Washing Machine,45,ON,Hall,Winter,Tuesday,8,No,0,Medium,Laundry,Normal,12,71,2.66,0.31,0
2024-01-03 09:00:00,H139,0.07,100,220,0.45,28,Occupied,TV,45,ON,Kitchen,Winter,Wednesday,9,No,0,Low,Entertainment,Normal,20,60,0.49,0.06,0
2024-01-03 09:30:00,H189,0.75,1000,220,4.55,26,Partial,Iron,45,ON,Living Room,Winter,Thursday,9,No,0,Medium,Clothing,Normal,18,57,5.25,0.61,0
2024-01-03 10:00:00,H187,0,150,240,0.62,26,Occupied,Computer,0,OFF,Study Room,Winter,Friday,10,No,0,Low,Work,Normal,14,56,0,0.0,0
2024-01-03 10:30:00,H065,0.03,40,230,0.17,30,Vacant,Light,45,ON,Bedroom,Winter,Saturday,10,No,0,Low,Lighting,Normal,14,72,0.21,0.02,1
2024-01-03 11:00:00,H185,0,1500,220,6.82,18,Vacant,AC,0,OFF,Bedroom,Winter,Sunday,11,No,0,High,Cooling,Normal,12,64,0,0.0,0
2024-01-03 11:30:00,H164,0.04,40,240,0.17,18,Vacant,Light,60,ON,Hall,Winter,Monday,11,No,0,Low,Lighting,Normal,14,80,0.28,0.03,1
2024-01-03 12:00:00,H095,0.15,150,220,0.68,30,Occupied,Computer,60,OFF,Kitchen,Winter,Tuesday,12,No,0,Low,Work,Cold,12,48,1.05,0.12,0
2024-01-03 12:30:00,H157,1.5,1500,220,6.82,24,Occupied,AC,60,ON,Bedroom,Winter,Wednesday,12,No,0,High,Cooling,Normal,18,41,10.5,1.23,0
2024-01-03 13:00:00,H095,0.75,1500,240,6.25,24,Occupied,AC,30,ON,Dining Room,Winter,Thursday,13,No,0,High,Cooling,Normal,20,69,5.25,0.61,0
2024-01-03 13:30:00,H118,0.25,500,240,2.08,26,Occupied,Washing Machine,30,ON,Living Room,Winter,Friday,13,No,0,Medium,Laundry,Cold,18,48,1.75,0.2,0
2024-01-03 14:00:00,H117,0.38,500,230,2.17,26,Occupied,Washing Machine,45,ON,Hall,Winter,Saturday,14,No,0,Medium,Laundry,Cold,18,80,2.66,0.31,0
2024-01-03 14:30:00,H151,1.5,1500,230,6.52,22,Occupied,AC,60,ON,Bedroom,Winter,Sunday,14,No,0,High,Cooling,Cold,16,48,10.5,1.23,0
2024-01-03 15:00:00,H178,0.04,40,220,0.18,30,Vacant,Light,60,ON,Kitchen,Winter,Monday,15,No,0,Low,Lighting,Normal,18,78,0.28,0.03,1
2024-01-03 15:30:00,H195,0.38,500,240,2.08,22,Occupied,Washing Machine,45,ON,Hall,Winter,Tuesday,15,No,0,Medium,Laundry,Cold,18,63,2.66,0.31,0
2024-01-03 16:00:00,H062,0.38,1500,220,6.82,22,Occupied,AC,15,ON,Bedroom,Winter,Wednesday,16,No,0,High,Cooling,Normal,18,70,2.66,0.31,0
2024-01-03 16:30:00,H083,0.04,150,230,0.65,24,Occupied,Computer,15,ON,Hall,Winter,Thursday,16,No,0,Low,Work,Cold,12,76,0.28,0.03,0
2024-01-03 17:00:00,H130,0.2,200,230,0.87,26,Occupied,Fridge,60,ON,Living Room,Winter,Friday,17,No,0,Medium,Cooling,Normal,14,56,1.4,0.16,0
2024-01-03 17:30:00,H077,0,2000,220,9.09,28,Vacant,Water Heater,0,OFF,Bedroom,Winter,Saturday,17,No,0,High,Heating,Cold,14,85,0,0.0,0
2024-01-03 18:00:00,H068,1.25,500,220,2.27,26,Occupied,Washing Machine,150,ON,Study Room,Winter,Sunday,18,Yes,0,Medium,Laundry,Normal,16,73,8.75,1.02,0
2024-01-03 18:30:00,H015,6.0,2000,220,9.09,26,Occupied,Water Heater,180,ON,Study Room,Winter,Monday,18,No,0,High,Heating,Cold,12,54,42.0,4.92,0
2024-01-03 19:00:00,H130,6.0,2000,230,8.7,20,Occupied,Water Heater,180,ON,Kitchen,Winter,Tuesday,19,No,1,High,Heating,Cold,18,40,42.0,4.92,0
2024-01-03 19:30:00,H101,1.5,1500,240,6.25,28,Occupied,AC,60,ON,Study Room,Winter,Wednesday,19,No,1,High,Cooling,Cold,14,81,10.5,1.23,0
2024-01-03 20:00:00,H061,3.6,1200,240,5.0,24,Occupied,Microwave,180,ON,Bedroom,Winter,Thursday,20,No,1,Medium,Cooking,Cold,18,64,25.2,2.95,0
2024-01-03 20:30:00,H125,1.5,500,240,2.08,20,Occupied,Washing Machine,180,OFF,Hall,Winter,Friday,20,No,1,Medium,Laundry,Normal,16,78,10.5,1.23,0
2024-01-03 21:00:00,H167,3.0,2000,220,9.09,30,Occupied,Water Heater,90,OFF,Dining Room,Winter,Saturday,21,No,1,High,Heating,Normal,12,62,21.0,2.46,0
2024-01-03 21:30:00,H030,0.5,500,220,2.27,22,Occupied,Washing Machine,60,OFF,Bedroom,Winter,Sunday,21,No,1,Medium,Laundry,Normal,16,45,3.5,0.41,0
2024-01-03 22:00:00,H199,1.2,1200,240,5.0,26,Occupied,Microwave,60,ON,Dining Room,Winter,Monday,22,No,1,Medium,Cooking,Cold,14,81,8.4,0.98,0
2024-01-03 22:30:00,H111,3.6,1200,240,5.0,26,Occupied,Microwave,180,ON,Study Room,Winter,Tuesday,22,No,1,Medium,Cooking,Cold,18,59,25.2,2.95,0
2024-01-03 23:00:00,H118,0.02,70,230,0.3,22,Occupied,Fan,15,ON,Study Room,Winter,Wednesday,23,No,0,Low,Ventilation,Cold,14,63,0.14,0.02,1
2024-01-03 23:30:00,H073,0.05,100,220,0.45,28,Occupied,TV,30,ON,Bedroom,Winter,Thursday,23,No,0,Low,Entertainment,Normal,14,48,0.35,0.04,1
2024-01-04 00:00:00,H158,0.5,2000,220,9.09,30,Vacant,Water Heater,15,ON,Study Room,Winter,Friday,0,No,0,High,Heating,Cold,18,56,3.5,0.41,1
2024-01-04 00:30:00,H127,0.03,100,240,0.42,18,Occupied,TV,15,ON,Kitchen,Winter,Saturday,0,Yes,0,Low,Entertainment,Cold,20,58,0.21,0.02,0
2024-01-04 01:00:00,H101,0.15,150,220,0.68,26,Occupied,Computer,60,ON,Study Room,Winter,Sunday,1,Yes,0,Low,Work,Normal,14,66,1.05,0.12,0
2024-01-04 01:30:00,H185,2.0,2000,240,8.33,28,Occupied,Water Heater,60,ON,Bedroom,Winter,Monday,1,No,0,High,Heating,Cold,18,66,14.0,1.64,0
2024-01-04 02:00:00,H013,0,1500,240,6.25,30,Occupied,AC,0,OFF,Living Room,Winter,Tuesday,2,No,0,High,Cooling,Cold,18,47,0,0.0,0
2024-01-04 02:30:00,H071,0.1,100,240,0.42,20,Occupied,TV,60,ON,Dining Room,Winter,Wednesday,2,No,0,Low,Entertainment,Cold,14,53,0.7,0.08,0
